epoch,values
1512764100.0,7.72
1512765000.0,8.21
1512765900.0,8.94
1512766800.0,8.42
1512767700.0,8.47
1512768600.0,8.13
1512769500.0,8.64
1512770400.0,8.45
1512771300.0,8.4
1512772200.0,7.75
1512773100.0,8.25
1512774000.0,8.68
1512774900.0,8.4
1512775800.0,8.15
1512776700.0,8.61
1512777600.0,8.59
1512778500.0,8.49
1512779400.0,7.87
1512780300.0,8.19
1512781200.0,8.34
1512782100.0,8.25
1512783000.0,8.59
1512783900.0,8.73
1512784800.0,8.74
1512785700.0,8.18
1512786600.0,8.67
1512787500.0,8.41
1512788400.0,8.08
1512789300.0,8.69
1512790200.0,8.66
1512791100.0,8.6
1512792000.0,8.51
1512792900.0,8.96
1512793800.0,8.22
1512794700.0,8.67
1512795600.0,8.9
1512796500.0,8.58
1512797400.0,8.8
1512798300.0,8.63
1512799200.0,8.54
1512800100.0,7.17
1512801000.0,8.46
1512801900.0,7.77
1512802800.0,7.38
1512803700.0,8.42
1512804600.0,8.73
1512805500.0,6.86
1512806400.0,8.96
1512807300.0,18.29
1512808200.0,27.53
1512809100.0,8.63
1512810000.0,30.84
1512810900.0,39.1
1512811800.0,30.87
1512812700.0,28.74
1512813600.0,29.29
1512814500.0,38.53
1512815400.0,15.23
1512816300.0,28.32
1512817200.0,42.71
1512818100.0,22.32
1512819000.0,25.87
1512819900.0,29.68
1512820800.0,18.75
1512821700.0,36.57
1512822600.0,41.79
1512823500.0,45.52
1512824400.0,30.05
1512825300.0,31.61
1512826200.0,29.46
1512827100.0,16.29
1512828000.0,32.24
1512828900.0,38.87
1512829800.0,19.62
1512830700.0,24.39
1512831600.0,33.15
1512832500.0,26.17
1512833400.0,34.02
1512834300.0,21.29
1512835200.0,37.74
1512836100.0,41.76
1512837000.0,21.85
1512837900.0,41.22
1512838800.0,24.72
1512839700.0,49.2
1512840600.0,23.11
1512841500.0,43.42
1512842400.0,36.75
1512843300.0,40.61
1512844200.0,17.06
1512845100.0,30.1
1512846000.0,31.22
1512846900.0,35.93
1512847800.0,33.33
1512848700.0,21.19
1512849600.0,8.98
1512850500.0,8.57
1512851400.0,8.75
1512852300.0,8.35
1512853200.0,8.63
1512854100.0,7.79
1512855000.0,8.5
1512855900.0,8.69
1512856800.0,8.53
1512857700.0,8.58
1512858600.0,8.22
1512859500.0,8.62
1512860400.0,8.74
1512861300.0,8.75
1512862200.0,8.11
1512863100.0,8.62
1512864000.0,8.26
1512864900.0,8.21
1512865800.0,8.37
1512866700.0,8.81
1512867600.0,8.93
1512868500.0,8.87
1512869400.0,8.84
1512870300.0,8.26
1512871200.0,8.57
1512872100.0,8.67
1512873000.0,8.48
1512873900.0,8.38
1512874800.0,8.56
1512875700.0,7.91
1512876600.0,8.58
1512877500.0,8.51
1512878400.0,8.48
1512879300.0,8.27
1512880200.0,8.21
1512881100.0,8.39
1512882000.0,9.03
1512882900.0,8.38
1512883800.0,8.24
1512884700.0,7.65
1512885600.0,8.08
1512886500.0,8.63
1512887400.0,8.43
1512888300.0,8.2
1512889200.0,8.39
1512890100.0,8.34
1512891000.0,8.7
1512891900.0,8.09
1512892800.0,8.99
1512893700.0,9.05
1512894600.0,9.14
1512895500.0,8.7
1512896400.0,16.13
1512897300.0,25.15
1512898200.0,28.97
1512899100.0,22.89
1512900000.0,30.6
1512900900.0,10.99
1512901800.0,31.28
1512902700.0,27.35
1512903600.0,40.91
1512904500.0,19.89
1512905400.0,23.21
1512906300.0,25.19
1512907200.0,31.66
1512908100.0,36.68
1512909000.0,35.08
1512909900.0,26.01
1512910800.0,36.44
1512911700.0,27.83
1512912600.0,37.67
1512913500.0,28.27
1512914400.0,21.14
1512915300.0,30.7
1512916200.0,29.12
1512917100.0,41.5
1512918000.0,29.61
1512918900.0,41.73
1512919800.0,36.82
1512920700.0,32.23
1512921600.0,32.88
1512922500.0,36.45
1512923400.0,29.7
1512924300.0,38.78
1512925200.0,35.94
1512926100.0,37.31
1512927000.0,42.03
1512927900.0,39.31
1512928800.0,20.9
1512929700.0,25.94
1512930600.0,17.65
1512931500.0,33.15
1512932400.0,9.07
1512933300.0,29.09
1512934200.0,10.96
1512935100.0,8.96
1512936000.0,8.91
1512936900.0,8.28
1512937800.0,8.46
1512938700.0,8.5
1512939600.0,8.89
1512940500.0,8.21
1512941400.0,8.68
1512942300.0,8.58
1512943200.0,8.49
1512944100.0,8.38
1512945000.0,8.06
1512945900.0,8.39
1512946800.0,8.56
1512947700.0,8.1
1512948600.0,8.59
1512949500.0,8.54
1512950400.0,8.67
1512951300.0,8.8
1512952200.0,8.43
1512953100.0,8.05
1512954000.0,8.59
1512954900.0,8.83
1512955800.0,8.11
1512956700.0,8.91
1512957600.0,8.87
1512958500.0,8.44
1512959400.0,8.11
1512960300.0,8.37
1512961200.0,7.81
1512962100.0,8.1
1512963000.0,8.04
1512963900.0,8.39
1512964800.0,8.3
1512965700.0,8.42
1512966600.0,8.5
1512967500.0,8.46
1512968400.0,8.79
1512969300.0,8.48
1512970200.0,8.42
1512971100.0,8.44
1512972000.0,8.53
1512972900.0,8.24
1512973800.0,6.62
1512974700.0,8.15
1512975600.0,8.33
1512976500.0,8.36
1512977400.0,8.5
1512978300.0,8.84
1512979200.0,8.89
1512980100.0,8.48
1512981000.0,8.84
1512981900.0,7.84
1512982800.0,8.71
1512983700.0,8.29
1512984600.0,8.31
1512985500.0,8.81
1512986400.0,7.93
1512987300.0,8.6
1512988200.0,7.81
1512989100.0,8.23
1512990000.0,8.47
1512990900.0,8.31
1512991800.0,8.44
1512992700.0,8.45
1512993600.0,8.71
1512994500.0,8.36
1512995400.0,8.3
1512996300.0,8.12
1512997200.0,8.86
1512998100.0,10.33
1512999000.0,28.43
1512999900.0,25.81
1513000800.0,34.39
1513001700.0,41.0
1513002600.0,32.32
1513003500.0,28.41
